Title,Discretionary-Mandatory,Spend-Category,Agency,Bureau,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
"Payment from the general fund, Radiation Exposure Compensation TF",Mandatory,Other Spending,Department of Justice                                           ,Department of Justice,-56,-54,-52,-50,-10,0,0,0,0,0,0
Research and related activities,Discretionary,Defense,National Science Foundation                                     ,National Science Foundation,66,61,62,66,68,72,75,77,78,80,82
Central Intelligence Agency Retirement and Disability System    ,Mandatory,Other Spending,Central Intelligence Agency                                     ,Central Intelligence Agency                                     ,514,514,514,514,514,514,514,514,514,514,514
Maritime security program,Discretionary,Defense,Department of Transportation                                    ,Maritime Administration,300,306,312,318,325,331,338,345,352,359,367
"Procurement, Construction, and Improvements, NPPD               ",Discretionary,Defense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,377,402,414,421,430,439,448,457,467,476,486
"Procurement, Construction, and Improvements, FEMA               ",Discretionary,Defense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,49,53,54,55,56,58,59,60,61,62,64
Infrastructure Protection and Information Security              ,Discretionary,Defense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,64,13,0,0,0,0,0,0,0,0,0
"Operations and Support, NPPD                                    ",Discretionary,Defense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,"1,076","1,161","1,196","1,226","1,257","1,290","1,323","1,356","1,389","1,424","1,460"
"Operations and Support, CG                                      ",Discretionary,Defense,Department of Homeland Security                                 ,United States Coast Guard,553,514,528,543,557,572,587,602,618,634,649
"Operations and Support, FEMA                                    ",Discretionary,Defense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,43,43,45,46,48,49,51,52,54,55,57
"Research and Development, NPPD                                  ",Discretionary,Defense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,11,14,15,15,16,16,16,17,17,17,18
Salaries and expenses,Discretionary,Defense,Other Defense Civil Programs                                    ,Selective Service System,21,22,23,23,24,25,26,27,28,29,30
Payment to military retirement fund,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Military Retirement,"87,996","90,916","93,060","96,085","99,208","102,432","105,762","109,200",0,0,0
Payment to Department of Defense Medicare-eligible retiree healt,Mandatory,Other Spending,Other Defense Civil Programs                                    ,Retiree Health Care,"5,720","5,908","6,099","6,297","6,501","6,713","6,932","7,157","7,389","7,629","7,877"
"Federal contributions, DOD retiree health care fund",Mandatory,Other Spending,Other Defense Civil Programs                                    ,Retiree Health Care,"-5,720","-5,908","-6,099","-6,297","-6,501","-6,713","-6,932","-7,157","-7,389","-7,629","-7,877"
"Military retirement, federal contribution",Mandatory,Other Spending,Other Defense Civil Programs                                    ,Military Retirement,"-87,996","-90,916","-93,060","-96,085","-99,208","-102,432","-105,762","-109,200",0,0,0
Intelligence Community Management Account                       ,Discretionary,Defense,Intelligence Community Management Account                       ,Intelligence Community Management Account                       ,519,524,537,551,565,580,595,610,626,642,659
Salaries and Expenses                                           ,Discretionary,Defense,Privacy and Civil Liberties Oversight Board                     ,Privacy and Civil Liberties Oversight Board                     ,8,8,9,9,9,9,10,10,10,11,11
United States emergency refugee and migration assistance fund,Discretionary,Nondefense,Department of State                                             ,Other,0,0,1,1,1,1,1,1,1,1,1
Contribution to the International Development Association,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,"1,097","1,119","1,142","1,165","1,189","1,214","1,240","1,265","1,290","1,317","1,344"
Contribution to the Asian Development Bank,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,47,48,49,50,51,52,53,54,55,56,58
Contribution to the International Bank for Reconstruction and De,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,140,143,146,149,152,155,158,161,165,168,172
Contribution to the African Development Bank                    ,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,203,207,211,216,220,224,229,234,239,243,248
Debt restructuring,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,5,5,5,0,0,0,0,0,0,0,0
Peace Corps,Discretionary,Nondefense,International Assistance Programs                               ,Peace Corps,403,407,428,441,455,468,481,495,510,524,539
African Development Foundation,Discretionary,Nondefense,International Assistance Programs                               ,African Development Foundation,30,31,31,30,30,32,32,33,34,35,35
Trade and Development Agency,Discretionary,Nondefense,International Assistance Programs                               ,Trade and Development Agency,65,70,77,79,83,84,86,88,90,92,94
Contributions to the International Fund for Agricultural Develop,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,30,31,31,31,32,33,33,34,35,35,36
International affairs technical assistance program,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,29,30,30,31,31,32,33,34,34,35,36
Inter-American Foundation,Discretionary,Nondefense,International Assistance Programs                               ,Inter-American Foundation,24,24,24,24,24,25,25,26,27,27,28
"Gifts and Donations, African Development Foundation             ",Mandatory,Offsetting receipts,International Assistance Programs                               ,African Development Foundation,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1
"Gifts and Donations, African Development Foundation             ",Mandatory,Other Spending,International Assistance Programs                               ,African Development Foundation,2,2,2,2,2,2,2,2,1,1,1
Peace Corps miscellaneous trust fund,Mandatory,Offsetting receipts,International Assistance Programs                               ,Peace Corps,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"Agency contributions (Peace Corps), foreign service national contractors separat",Mandatory,Offsetting receipts,International Assistance Programs                               ,Peace Corps,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"Expenses, Public Law 480, foreign assistance programs, Agricultu",Mandatory,Other Spending,Department of Agriculture                                       ,Foreign Agricultural Service,-215,-197,-187,-59,-49,-38,-35,-32,-30,-28,-26
Food for Peace Title II Grants                                  ,Discretionary,Nondefense,Department of Agriculture                                       ,Foreign Agricultural Service,"1,685","1,688","1,724","1,762","1,803","1,852","1,891","1,931","1,970","2,011","2,051"
McGovern-Dole international food for education and child nutriti,Discretionary,Nondefense,Department of Agriculture                                       ,Foreign Agricultural Service,180,189,199,206,210,214,219,223,228,233,238
International Organizations and Programs,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,312,324,344,351,358,365,373,381,389,397,405
International narcotics control and law enforcement,Discretionary,Nondefense,Department of State                                             ,Other,"1,194","1,207","1,222","1,250","1,286","1,346","1,425","1,464","1,496","1,528","1,561"
Global HIV/AIDs Initiative                                      ,Discretionary,Nondefense,Department of State                                             ,Other,7,8,8,0,0,0,0,0,0,0,0
Global Health Programs                                          ,Discretionary,Nondefense,Department of State                                             ,Other,"8,105","8,115","8,229","8,326","8,417","8,528","8,786","9,181","9,517","9,796","9,996"
Democracy fund                                                  ,Discretionary,Nondefense,Department of State                                             ,Other,124,140,176,200,214,220,224,229,234,239,244
Migration and refugee assistance,Discretionary,Nondefense,Department of State                                             ,Other,"2,720","2,815","3,057","3,242","3,371","3,542","3,731","3,856","3,934","4,015","4,098"
Overseas Private Investment Corporation program account,Discretionary,Nondefense,International Assistance Programs                               ,Overseas Private Investment Corporation,-135,-139,-143,-146,-150,-153,-156,-160,-161,-165,-169
Overseas Private Investment Corporation noncredit account,Discretionary,Nondefense,International Assistance Programs                               ,Overseas Private Investment Corporation,-119,-121,-123,-125,-127,-130,-132,-135,-137,-138,-141
Overseas Private Investment Corporation noncredit account,Mandatory,Other Spending,International Assistance Programs                               ,Overseas Private Investment Corporation,1,1,1,1,1,1,1,1,1,1,1
Capital Investment Fund of the United States Agency for Internat,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,194,200,207,211,213,217,222,226,231,236,240
"Assistance for Europe, Eurasia and Central Asia                 ",Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,504,542,595,654,703,762,797,813,830,847,865
Operating expenses of the Agency for International Development,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,"1,233","1,264","1,344","1,417","1,480","1,504","1,548","1,590","1,636","1,682","1,730"
"Operating expenses, Office of Inspector General",Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,73,76,79,81,83,86,89,92,95,97,100
Complex Crises Fund                                             ,Discretionary,Nondefense,Department of State                                             ,Other,39,39,38,36,32,33,33,34,35,36,36
Development Assistance Program                                  ,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,"2,475","2,500","2,549","2,622","2,749","2,920","3,070","3,180","3,261","3,329","3,397"
Transition Initiatives,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,87,89,93,96,98,102,102,104,107,110,112
International Disaster Assistance                               ,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,"3,479","3,503","3,530","3,638","4,035","4,332","4,552","4,690","4,830","4,930","5,033"
Development credit authority program account,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,32,44,58,67,67,67,66,67,68,69,72
Economic assistance loans liquidating account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,-270,-260,-250,-240,-230,-220,-210,-200,-190,-180,-170
Housing and other credit guaranty programs liquidating account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,-5,-5,-4,-4,-4,-3,-3,-1,-1,-1,-1
